"Time","A4261164",
"and","Level (m)",
"Date","Mean","Qual"
09:00:00 04/04/2016,       0.546,      1
09:00:00 05/04/2016,       0.499,      1
09:00:00 06/04/2016,       0.569,      1
09:00:00 07/04/2016,       0.608,      1
09:00:00 08/04/2016,       0.537,      1
09:00:00 09/04/2016,       0.552,      1
09:00:00 10/04/2016,       0.542,      1
09:00:00 11/04/2016,       0.603,      1
09:00:00 12/04/2016,       0.612,      1
09:00:00 13/04/2016,       0.599,      1
09:00:00 14/04/2016,       0.557,      1
09:00:00 15/04/2016,       0.528,      1
09:00:00 16/04/2016,       0.558,      1
09:00:00 17/04/2016,       0.617,      1
09:00:00 18/04/2016,       0.565,      1
09:00:00 19/04/2016,       0.522,      1
09:00:00 20/04/2016,       0.520,      1
09:00:00 21/04/2016,       0.541,      1
09:00:00 22/04/2016,       0.600,      1
09:00:00 23/04/2016,       0.596,      1
09:00:00 24/04/2016,       0.577,      1
09:00:00 25/04/2016,       0.520,      1
09:00:00 26/04/2016,       0.505,      1
09:00:00 27/04/2016,       0.468,      1
09:00:00 28/04/2016,       0.481,      1
09:00:00 29/04/2016,       0.513,      1
09:00:00 30/04/2016,       0.514,      1
09:00:00 01/05/2016,       0.515,      1
09:00:00 02/05/2016,       0.615,      1
09:00:00 03/05/2016,       0.494,      1
09:00:00 04/05/2016,       0.568,      1
09:00:00 05/05/2016,       0.483,      1
09:00:00 06/05/2016,       0.485,      1
09:00:00 07/05/2016,       0.546,      1
09:00:00 08/05/2016,       0.496,      1
09:00:00 09/05/2016,       0.450,      1
09:00:00 10/05/2016,       0.516,      1
09:00:00 11/05/2016,       0.683,      1
09:00:00 12/05/2016,       0.587,      1
09:00:00 13/05/2016,       0.548,      1
09:00:00 14/05/2016,       0.499,      1
09:00:00 15/05/2016,       0.489,      1
09:00:00 16/05/2016,       0.556,      1
09:00:00 17/05/2016,       0.499,      1
09:00:00 18/05/2016,       0.531,      1
09:00:00 19/05/2016,       0.532,      1
09:00:00 20/05/2016,       0.542,      1
09:00:00 21/05/2016,       0.499,      1
09:00:00 22/05/2016,       0.434,      1
09:00:00 23/05/2016,       0.458,      1
09:00:00 24/05/2016,       0.537,      1
09:00:00 25/05/2016,       0.481,      1
09:00:00 26/05/2016,       0.484,      1
09:00:00 27/05/2016,       0.576,      1
09:00:00 28/05/2016,       0.591,      1
09:00:00 29/05/2016,       0.568,      1
09:00:00 30/05/2016,       0.500,      1
09:00:00 31/05/2016,       0.477,      1
09:00:00 01/06/2016,       0.517,      1
09:00:00 02/06/2016,       0.546,      1
09:00:00 03/06/2016,       0.561,      1
09:00:00 04/06/2016,       0.593,      1
09:00:00 05/06/2016,       0.598,      1
09:00:00 06/06/2016,       0.576,      1
09:00:00 07/06/2016,       0.674,      1
09:00:00 08/06/2016,       0.613,      1
09:00:00 09/06/2016,       0.507,      1
09:00:00 10/06/2016,       0.689,      1
09:00:00 11/06/2016,       0.608,      1
09:00:00 12/06/2016,       0.646,      1
09:00:00 13/06/2016,       0.578,      1
09:00:00 14/06/2016,       0.541,      1
09:00:00 15/06/2016,       0.596,      1
09:00:00 16/06/2016,       0.560,      1
09:00:00 17/06/2016,       0.563,      1
09:00:00 18/06/2016,       0.638,      1
09:00:00 19/06/2016,       0.625,      1
09:00:00 20/06/2016,       0.638,      1
09:00:00 21/06/2016,       0.609,      1
09:00:00 22/06/2016,       0.625,      1
09:00:00 23/06/2016,       0.603,      1
09:00:00 24/06/2016,       0.632,      1
09:00:00 25/06/2016,       0.786,      1
09:00:00 26/06/2016,       0.596,      1
09:00:00 27/06/2016,       0.608,      1
09:00:00 28/06/2016,       0.654,      1
09:00:00 29/06/2016,       0.627,      1
09:00:00 30/06/2016,       0.565,      1
09:00:00 01/07/2016,       0.724,      1
09:00:00 02/07/2016,       0.643,      1
09:00:00 03/07/2016,       0.640,      1
09:00:00 04/07/2016,       0.626,      1
09:00:00 05/07/2016,       0.690,      1
09:00:00 06/07/2016,       0.752,      1
09:00:00 07/07/2016,       0.717,      1
09:00:00 08/07/2016,       0.712,      1
09:00:00 09/07/2016,       0.705,      1
09:00:00 10/07/2016,       0.656,      1
09:00:00 11/07/2016,       0.543,      1
09:00:00 12/07/2016,       0.713,      1
09:00:00 13/07/2016,       0.954,      1
09:00:00 14/07/2016,       0.846,      1
09:00:00 15/07/2016,       0.789,      1
09:00:00 16/07/2016,       0.797,      1
09:00:00 17/07/2016,       0.786,      1
09:00:00 18/07/2016,       0.755,      1
09:00:00 19/07/2016,       0.793,      1
09:00:00 20/07/2016,       0.801,      1
09:00:00 21/07/2016,       0.797,      1
09:00:00 22/07/2016,       0.744,      1
