Discharge[Ml/day]:Instantaneous
Time	A4260519	
09:00:00 21/04/2016	3903.5
09:00:00 22/04/2016	3920
09:00:00 23/04/2016	3912
09:00:00 24/04/2016	3807
09:00:00 25/04/2016	3662.5
09:00:00 26/04/2016	3623
09:00:00 27/04/2016	3615.5
09:00:00 28/04/2016	3568.5
09:00:00 29/04/2016	3521.5
09:00:00 30/04/2016	3143.5
09:00:00 01/05/2016	2253.5
09:00:00 02/05/2016	1754.5
09:00:00 03/05/2016	1810.5
09:00:00 04/05/2016	1913.5
09:00:00 05/05/2016	2018
09:00:00 06/05/2016	2062
09:00:00 07/05/2016	2104
09:00:00 08/05/2016	2147
09:00:00 09/05/2016	2173.5
09:00:00 10/05/2016	2260.5
09:00:00 11/05/2016	2290
09:00:00 12/05/2016	2253.5
09:00:00 13/05/2016	2264
09:00:00 14/05/2016	2223
09:00:00 15/05/2016	2151.5
09:00:00 16/05/2016	2131
09:00:00 17/05/2016	2156.5
09:00:00 18/05/2016	2182
09:00:00 19/05/2016	2187
09:00:00 20/05/2016	2177
09:00:00 21/05/2016	2201
09:00:00 22/05/2016	2287.5
09:00:00 23/05/2016	2383
09:00:00 24/05/2016	2448.5
09:00:00 25/05/2016	2539.5
09:00:00 26/05/2016	2748
09:00:00 27/05/2016	2926
09:00:00 28/05/2016	2965.5
09:00:00 29/05/2016	2959
09:00:00 30/05/2016	2959
09:00:00 31/05/2016	2959
09:00:00 01/06/2016	2939.5
09:00:00 02/06/2016	2933
09:00:00 03/06/2016	2919.5
09:00:00 04/06/2016	2823
09:00:00 05/06/2016	2727
09:00:00 06/06/2016	2658.5
09:00:00 07/06/2016	2646
09:00:00 08/06/2016	2714.5
09:00:00 09/06/2016	2653
09:00:00 10/06/2016	2646.5
09:00:00 11/06/2016	2714.5
09:00:00 12/06/2016	2695.5
09:00:00 13/06/2016	2664.5
09:00:00 14/06/2016	2615
09:00:00 15/06/2016	2584
09:00:00 16/06/2016	2596.5
09:00:00 17/06/2016	2596.5
09:00:00 18/06/2016	2621
09:00:00 19/06/2016	2645.5
09:00:00 20/06/2016	2584.5
09:00:00 21/06/2016	2536
09:00:00 22/06/2016	2548
09:00:00 23/06/2016	2548
09:00:00 24/06/2016	2471
09:00:00 25/06/2016	2526
09:00:00 26/06/2016	2633.5
09:00:00 27/06/2016	2602.5
09:00:00 28/06/2016	2578
09:00:00 29/06/2016	2572
09:00:00 30/06/2016	2477.5
09:00:00 01/07/2016	2459.5
09:00:00 02/07/2016	2518
09:00:00 03/07/2016	2548
09:00:00 04/07/2016	2639.5
09:00:00 05/07/2016	2646.5
09:00:00 06/07/2016	2876.5
09:00:00 07/07/2016	3353
09:00:00 08/07/2016	3906.5
09:00:00 09/07/2016	4913.5
09:00:00 10/07/2016	5842.5
09:00:00 11/07/2016	6179.5
09:00:00 12/07/2016	6551.5
09:00:00 13/07/2016	7520
09:00:00 14/07/2016	8311.5
09:00:00 15/07/2016	8579.5
09:00:00 16/07/2016	9305.5
09:00:00 17/07/2016	9904
09:00:00 18/07/2016	9904
09:00:00 19/07/2016	9904
09:00:00 20/07/2016	9960.5
09:00:00 21/07/2016	10017
09:00:00 22/07/2016	10411.5
09:00:00 23/07/2016	12158.5
09:00:00 24/07/2016	13597.5
09:00:00 25/07/2016	13774
09:00:00 26/07/2016	13951.5
09:00:00 27/07/2016	14536.5
09:00:00 28/07/2016	15586
09:00:00 29/07/2016	16518.5
09:00:00 30/07/2016	17191.5
09:00:00 31/07/2016	17599.5
09:00:00 01/08/2016	17924
09:00:00 02/08/2016	18893
09:00:00 03/08/2016	20429.5
09:00:00 04/08/2016	21420.5
09:00:00 05/08/2016	21858
09:00:00 06/08/2016	23132.5
09:00:00 07/08/2016	24486.5
09:00:00 08/08/2016	24932
09:00:00 09/08/2016	25532
09:00:00 10/08/2016	26025
09:00:00 11/08/2016	26087.5
09:00:00 12/08/2016	26565
09:00:00 13/08/2016	27042
09:00:00 14/08/2016	27133.5
09:00:00 15/08/2016	27286
09:00:00 16/08/2016	27809
09:00:00 17/08/2016	28687
09:00:00 18/08/2016	29470.5
09:00:00 19/08/2016	29831
09:00:00 20/08/2016	29832
09:00:00 21/08/2016	29776
09:00:00 22/08/2016	29717
09:00:00 23/08/2016	29678.5
09:00:00 24/08/2016	29601.5
09:00:00 25/08/2016	29264.5
09:00:00 26/08/2016	28280
09:00:00 27/08/2016	27038.5
09:00:00 28/08/2016	26447.5
09:00:00 29/08/2016	26387
09:00:00 30/08/2016	26341.5
09:00:00 31/08/2016	26533.5
