Sample Point Name,sampleDate,dailyStage (m),dailyVolume (ML/day),qualityCode,Comments
LK7DS_620km,28/10/2015 09:00:01,19.255,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,29/10/2015 09:00:01,19.277,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,30/10/2015 09:00:01,19.316,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,31/10/2015 09:00:01,19.272,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,01/11/2015 09:00:01,19.249,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,02/11/2015 09:00:01,19.245,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,03/11/2015 09:00:01,19.249,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,04/11/2015 09:00:01,19.276,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,05/11/2015 09:00:01,19.272,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,06/11/2015 09:00:01,19.234,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,07/11/2015 09:00:01,19.244,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,08/11/2015 09:00:01,19.247,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,09/11/2015 09:00:01,19.238,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,10/11/2015 09:00:01,19.240,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,11/11/2015 09:00:01,19.278,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,12/11/2015 09:00:01,19.282,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,13/11/2015 09:00:01,19.292,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,14/11/2015 09:00:01,19.291,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,15/11/2015 09:00:01,19.279,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,16/11/2015 09:00:01,19.274,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,17/11/2015 09:00:01,19.269,0,5,No discharge at this sample point (1 Good)
