"Time","A4260517",
"and","Level (m)",
"Date","Mean","Qual"
09:00:00 24/02/2015,       6.387,      1
09:00:00 25/02/2015,       6.357,      1
09:00:00 26/02/2015,       6.359,      1
09:00:00 27/02/2015,       6.384,      1
09:00:00 28/02/2015,       6.379,      1
09:00:00 01/03/2015,       6.399,      1
09:00:00 02/03/2015,       6.371,      1
09:00:00 03/03/2015,       6.379,      1
09:00:00 04/03/2015,       6.439,      1
09:00:00 05/03/2015,       6.460,      1
09:00:00 06/03/2015,       6.449,      1
09:00:00 07/03/2015,       6.448,      1
09:00:00 08/03/2015,       6.443,      1
09:00:00 09/03/2015,       6.448,      1
09:00:00 10/03/2015,       6.449,      1
09:00:00 11/03/2015,       6.449,      1
09:00:00 12/03/2015,       6.454,      1
09:00:00 13/03/2015,       6.450,      1
09:00:00 14/03/2015,       6.441,      1
09:00:00 15/03/2015,       6.445,      1
09:00:00 16/03/2015,       6.427,      1
09:00:00 17/03/2015,       6.389,      1
09:00:00 18/03/2015,       6.397,      1
09:00:00 19/03/2015,       6.337,      1
09:00:00 20/03/2015,       6.330,      1
09:00:00 21/03/2015,       6.247,      1
09:00:00 22/03/2015,       6.230,      1
09:00:00 23/03/2015,       6.242,      1
09:00:00 24/03/2015,       6.276,      1
09:00:00 25/03/2015,       6.266,      1
09:00:00 26/03/2015,       6.285,      1
09:00:00 27/03/2015,       6.290,      1
09:00:00 28/03/2015,       6.281,      1
09:00:00 29/03/2015,       6.279,      1
09:00:00 30/03/2015,       6.284,      1
09:00:00 31/03/2015,       6.282,      1
09:00:00 01/04/2015,       6.268,      1
09:00:00 02/04/2015,       6.275,      1
09:00:00 03/04/2015,       6.254,      1
09:00:00 04/04/2015,       6.251,      1
09:00:00 05/04/2015,       6.257,      1
09:00:00 06/04/2015,       6.265,      1
09:00:00 07/04/2015,       6.301,      1
09:00:00 08/04/2015,       6.312,      1
09:00:00 09/04/2015,       6.258,      1
09:00:00 10/04/2015,       6.313,      1
09:00:00 11/04/2015,       6.314,      1
09:00:00 12/04/2015,       6.315,      1
09:00:00 13/04/2015,       6.314,      1
09:00:00 14/04/2015,       6.312,      1
09:00:00 15/04/2015,       6.313,      1
09:00:00 16/04/2015,       6.320,      1
09:00:00 17/04/2015,       6.326,      1
09:00:00 18/04/2015,       6.392,      1
09:00:00 19/04/2015,       6.417,      1
09:00:00 20/04/2015,       6.405,      1
09:00:00 21/04/2015,       6.394,      1
09:00:00 22/04/2015,       6.384,      1
09:00:00 23/04/2015,       6.378,    132
09:00:00 24/04/2015,       6.370,      1
09:00:00 25/04/2015,       6.375,      1
09:00:00 26/04/2015,       6.368,      1
09:00:00 27/04/2015,       6.334,      1
09:00:00 28/04/2015,       6.311,      1
09:00:00 29/04/2015,       6.274,      1
09:00:00 30/04/2015,       6.258,      1
09:00:00 01/05/2015,       6.240,      1
09:00:00 02/05/2015,       6.238,      1
09:00:00 03/05/2015,       6.260,      1
09:00:00 04/05/2015,       6.255,      1
09:00:00 05/05/2015,       6.278,      1
09:00:00 06/05/2015,       6.306,      1
09:00:00 07/05/2015,       6.287,      1
09:00:00 08/05/2015,       6.290,      1
09:00:00 09/05/2015,       6.241,      1
09:00:00 10/05/2015,       6.234,      1
09:00:00 11/05/2015,       6.243,      1
09:00:00 12/05/2015,       6.262,      1
09:00:00 13/05/2015,       6.256,      1
09:00:00 14/05/2015,       6.236,      1
09:00:00 15/05/2015,       6.217,      1
09:00:00 16/05/2015,       6.230,      1
09:00:00 17/05/2015,       6.225,      1
09:00:00 18/05/2015,       6.239,      1
09:00:00 19/05/2015,       6.249,      1
09:00:00 20/05/2015,       6.276,      1
09:00:00 21/05/2015,       6.292,      1
09:00:00 22/05/2015,       6.286,      1
09:00:00 23/05/2015,       6.272,      1
09:00:00 24/05/2015,       6.260,      1
09:00:00 25/05/2015,       6.254,      1
09:00:00 26/05/2015,       6.244,      1
09:00:00 27/05/2015,       6.243,      1
09:00:00 28/05/2015,       6.241,    150
09:00:00 29/05/2015,       6.240,    150
09:00:00 30/05/2015,       6.233,    150
09:00:00 31/05/2015,       6.232,    150
